embedding,k,AMI,Purity
VGG,5,0.13,0.1432
VGG,10,0.1562,0.1778
VGG,15,0.1704,0.1932
VGG,20,0.177,0.2079
VGG,25,0.1805,0.2173
VGG,30,0.1833,0.2252
VGG,35,0.1825,0.2281
VGG,40,0.1824,0.2366
VGG,45,0.1838,0.2454
VGG,50,0.1865,0.2494
VGG,55,0.187,0.245
VGG,60,0.1863,0.2534
VGG,65,0.19,0.2584
VGG,70,0.1885,0.2556
Texture,5,0.0748,0.1111
Texture,10,0.1025,0.1342
Texture,15,0.1098,0.1498
Texture,20,0.119,0.1572
Texture,25,0.1264,0.1732
Texture,30,0.1345,0.1771
Texture,35,0.1368,0.1802
Texture,40,0.1399,0.1894
Texture,45,0.1404,0.1878
Texture,50,0.1478,0.204
Texture,55,0.1449,0.1966
Texture,60,0.1466,0.197
Texture,65,0.1437,0.2001
Texture,70,0.151,0.2102
Archetype,5,0.0698,0.1112
Archetype,10,0.091,0.1269
Archetype,15,0.1012,0.1348
Archetype,20,0.1048,0.1426
Archetype,25,0.1104,0.1487
Archetype,30,0.115,0.1603
Archetype,35,0.1176,0.1664
Archetype,40,0.1228,0.1694
Archetype,45,0.1249,0.1762
Archetype,50,0.1247,0.1774
Archetype,55,0.1264,0.1828
Archetype,60,0.1262,0.1803
Archetype,65,0.1247,0.1803
Archetype,70,0.1279,0.1864
